Market Segment,Date,Day,Description
CM,25-Dec-2018,Tuesday,Christmas
CM,04-Mar-2019,Monday,Mahashivratri
CM,21-Mar-2019,Thursday,Holi
CM,17-Apr-2019,Wednesday,Mahavir Jayanti
CM,19-Apr-2019,Friday,Good Friday
CM,29-Apr-2019,Monday,Parliamentary Elections
CM,01-May-2019,Wednesday,Maharashtra Day
CM,05-Jun-2019,Wednesday,Id-Ul-Fitr (Ramzan ID)
CM,12-Aug-2019,Monday,Bakri Id
CM,15-Aug-2019,Thursday,Independence Day
CM,02-Sep-2019,Monday,Ganesh Chaturthi
CM,10-Sep-2019,Tuesday,Moharram
CM,02-Oct-2019,Wednesday,Mahatma Gandhi Jayanti
CM,08-Oct-2019,Tuesday,Dasera
CM,21-Oct-2019,Monday,General Assembly Elections in Maharashtra
CM,28-Oct-2019,Monday,Diwali-Balipratipada
CM,12-Nov-2019,Tuesday,Gurunanak Jayanti
CM,25-Dec-2019,Wednesday,Christmas
CM,21-Feb-2020,Friday,Mahashivratri
CM,10-Mar-2020,Tuesday,Holi
CM,02-Apr-2020,Thursday,Ram Navami
CM,06-Apr-2020,Monday,Mahavir Jayanti
CM,10-Apr-2020,Friday,Good Friday
CM,14-Apr-2020,Tuesday,Dr.Baba Saheb Ambedkar Jayanti
CM,01-May-2020,Friday,Maharashtra Day
CM,25-May-2020,Monday,Id-Ul-Fitr (Ramzan ID)
CM,02-Oct-2020,Friday,Mahatma Gandhi Jayanti
CM,16-Nov-2020,Monday,Diwali-Balipratipada
CM,30-Nov-2020,Monday,Gurunanak Jayanti
CM,25-Dec-2020,Friday,Christmas
CM,26-Jan-2021,Tuesday,Republic Day
CM,11-Mar-2021,Thursday,Mahashivratri
CM,29-Mar-2021,Monday,Holi
CM,02-Apr-2021,Friday,Good Friday
CM,14-Apr-2021,Wednesday,Dr.Baba Saheb Ambedkar Jayanti
CM,21-Apr-2021,Wednesday,Ram Navami
CM,13-May-2021,Thursday,Id-Ul-Fitr (Ramzan ID)
CM,21-Jul-2021,Wednesday,Bakri Id
CM,19-Aug-2021,Thursday,Moharram
CM,10-Sep-2021,Friday,Ganesh Chaturthi
CM,15-Oct-2021,Friday,Dussehra
CM,04-Nov-2021,Thursday,Muhurat Trading only
CM,05-Nov-2021,Friday,Diwali-Balipratipada
CM,19-Nov-2021,Friday,Gurunanak Jayanti
CM,26-Jan-22,Wednesday,Republic Day
CM,01-Mar-22,Tuesday,Mahashivratri
CM,18-Mar-22,Friday,Holi
CM,14-Apr-22,Thursday,Dr. Baba Saheb Ambedkar Jayanti/Mahavir Jayanti
CM,15-Apr-22,Friday,Good Friday
CM,02-May-22,Monday,Stocks EOD Data Not Available
CM,03-May-22,Tuesday,Id-Ul-Fitr (Ramzan ID)
CM,24-May-22,Tuesday,Stocks EOD Data Not Available
CM,27-May-22,Friday,Stocks EOD Data Not Available
CM,09-Aug-22,Tuesday,Moharram
CM,15-Aug-22,Monday,Independence Day
CM,31-Aug-22,Wednesday,Ganesh Chaturthi
CM,05-Oct-22,Wednesday,Dussehra
CM,24-Oct-22,Monday,Diwali-Laxmi Pujan*
CM,26-Oct-22,Wednesday,Diwali-Balipratipada
CM,08-Nov-22,Tuesday,Gurunanak Jayanti
